Recreation Visits,LowestTemperature(F),HighestTemperature(F),WarmestMinimumTemperature(F),ColdestMaximumTemperature(F),AverageMinimumTemperature(F),AverageMaximumTemperature(F),MeanTemperature(F),TotalPrecipitation(In),TotalSnowfall(In),Max 24hrPrecipitation(In),Max 24hrSnowfall(In),Year/Month/Day,3month Percent Change Airfare Costs,3month Percent Change Food Away From Home Costs,3month Percent Change Gasoline Costs,3month Percent Change Jet Fuel Costs,Consumer Price Index,Consumer Sentiment Index,Unemployment Rate
30621,-17,37,23,10,8.9,29.3,19.1,1.09,16.1,0.4,6.5,2016/1/1,-0.3,0.6,-7.3,-23.2,0.2,92,4.9
28091,-17,42,27,2,6.3,29.9,18.1,0.77,8.8,0.23,3,2015/1/1,-3.8,0.8,-28.4,-30.1,-0.5,98.1,5.7
26778,-19,41,26,5,3.8,27.1,15.5,1.28,14.1,0.25,2.5,2014/1/1,-3.6,0.5,4.2,5.7,0.4,81.2,6.6
24699,-22,43,30,6,1.2,23.5,12.3,0.61,11.5,0.17,3.8,2013/1/1,3.8,0.4,-8.1,-0.5,0.3,73.8,8
24766,-14,41,28,14,6.6,29.4,18,1.13,15,0.24,3,2012/1/1,0.5,0.8,0.1,9.1,0.4,75,8.3
24517,2,41,27,12,17.8,30.5,24.1,0.15,5.1,0.07,1.4,2011/1/1,7.7,0.4,10.4,12.7,0.5,74.2,9.1
25595,-31,43,26,3,5.5,30.5,18,0.85,14.3,0.25,3.5,2010/1/1,2.4,0.3,5.9,16,0.3,74.4,9.8
24770,-32,42,24,4,2.9,26.2,14.5,1.03,21.3,0.17,4.1,2009/1/1,-7.5,0.9,-42.2,-43.8,0.4,61.2,7.8
26864,-32,40,18,2,-0.9,22.8,10.9,1.65,29.8,0.43,7,2008/1/1,3.7,0.9,11.1,25.9,0.5,78.4,5
25476,-35,39,28,-5,-3.8,23.5,9.9,0.26,6.4,0.11,2.6,2007/1/1,-1.1,1,4.2,5.3,0.3,96.9,4.6
23989,-7,43,27,24,5.7,31.7,18.7,1.06,18.6,0.32,6.5,2006/1/1,0.3,0.7,-10.8,-19.2,0.8,91.2,4.7
22297,-14,45,22,10,4.8,30.9,17.9,1.51,21,0.5,9.1,2005/1/1,0.5,0.7,-3.4,0.9,0.2,95.5,5.3
22817,-31,40,24,-6,1.9,27.7,14.8,1.95,18,0.48,5.5,2004/1/1,-0.8,0.9,8.3,38.3,0.5,103.8,5.7
36387,-14,42,26,19,4.6,33.4,19,0.9,12.6,0.23,3,2003/1/1,1.3,0.2,8.9,22.6,0.4,82.4,5.8
40465,-22,43,23,10,2.3,26.9,14.6,0.88,15.2,0.18,3.8,2002/1/1,0.1,0.5,-14.1,-4.6,0.2,93,5.7
44356,-19,41,16,14,-3.7,26.4,11.3,0.34,8.5,0.17,2,2001/1/1,1.1,0.6,-1.5,-13.5,0.6,94.7,4.2
37301,-26,48,22,15,-1.5,30.5,14.5,1.13,19.8,0.54,9.4,2000/1/1,-1.4,0.6,5.6,25.3,0.3,112,4
34346,-21,41,19,17,4.3,31,17.6,1.94,30.7,0.68,10,1999/1/1,0.6,0.7,-4.2,-17.3,0.2,103.9,4.3
33845,-15,42,23,2,5.5,30.7,18.1,1.89,35,0.59,12,1998/1/1,-2.6,0.6,-6.8,-8.8,0.2,106.6,4.6
31155,-46,43,28,-8,-5,26.5,10.7,2.5,29.7,0.78,4.8,1997/1/1,-1,0.7,5.4,5.9,0.3,97.4,5.3
32871,-32,41,21,7,-2.3,26.3,12,1.84,31.9,0.45,7.5,1996/1/1,-7.4,0.4,3.8,14.7,0.6,89.3,5.6
40868,-30,43,30,5,2,26.8,14.4,0.98,14.1,0.19,2.5,1995/1/1,-0.2,0.7,-0.4,-0.9,0.4,97.6,5.6
40757,-16,44,22,22,7,33.9,20.4,0.7,11.9,0.13,2,1994/1/1,5.9,0.3,-4.2,-14.6,0.3,94.3,6.6
38100,-22,39,16,9,-3.1,26.1,11.5,1.22,18.5,0.28,4,1993/1/1,8.3,0.5,0.7,-6.7,0.5,89.3,7.3
